"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Sale, Chris",519242,"ATL","SL","Slider",2.4,23,"960",47.3,"257","0.143","0.218","0.191",39.8,44,28.3,"0.154","0.234","0.201",25.2
"Elder, Bryce",693821,"ATL","SL","Slider",0.1,1,"883",35.1,"257","0.259","0.427","0.326",31.8,21.8,20.1,"0.269","0.428","0.323",40.2
"Houser, Adrian",605288,"TB","SI","Sinker",0.7,6,"869",45.9,"256","0.293","0.427","0.35",10.6,12.1,17.4,"0.287","0.424","0.342",52.7
"Luzardo, Jesús",666200,"PHI","FF","4-Seam Fastball",-0.4,-4,"1027",34.1,"251","0.276","0.462","0.36",19.4,21.1,17.3,"0.279","0.49","0.365",45.3
"Falter, Bailey",663559,"KC","FF","4-Seam Fastball",0.1,1,"916",47,"251","0.259","0.432","0.341",16.5,15.5,14.8,"0.269","0.442","0.343",47
"Rodón, Carlos",607074,"NYY","SL","Slider",1.3,12,"913",28.4,"250","0.133","0.231","0.219",40.3,39.2,23.9,"0.163","0.257","0.231",35.7
"Irvin, Jake",663623,"WSH","FF","4-Seam Fastball",-1.5,-14,"947",32.2,"248","0.257","0.495","0.369",17.8,16.5,13.2,"0.302","0.603","0.415",56.2
"Williams, Gavin",668909,"CLE","FF","4-Seam Fastball",-0.7,-8,"1093",37.4,"247","0.27","0.498","0.381",23.3,18.6,14.8,"0.283","0.536","0.391",50.9
"Fried, Max",608331,"NYY","FC","Cutter",1.3,12,"872",28,"247","0.236","0.355","0.31",18.6,13.8,15.8,"0.272","0.396","0.328",33.5
"Quintana, Jose",500779,"MIL","SI","Sinker",-0.3,-3,"956",44,"246","0.264","0.458","0.372",12.1,17.1,16.9,"0.287","0.494","0.381",51.5
"Greene, Hunter",668881,"CIN","FF","4-Seam Fastball",2.2,20,"947",54.2,"245","0.199","0.332","0.263",23,30.2,21.1,"0.215","0.389","0.288",50.3
